validTime,temperature,wind_speed,precipitation,air_pressure,city
05-02 06:00,0.0,0.0,-9.0,10.1,trelleborg
05-02 07:00,0.0,0.0,-9.0,9.6,trelleborg
05-02 08:00,0.0,0.0,-9.0,9.2,trelleborg
05-02 09:00,0.0,0.0,-9.0,9.0,trelleborg
05-02 10:00,0.0,0.0,-9.0,11.2,trelleborg
05-02 11:00,0.0,0.0,-9.0,11.9,trelleborg
05-02 12:00,0.0,0.0,-9.0,12.5,trelleborg
05-02 13:00,0.0,0.0,-9.0,12.4,trelleborg
05-02 14:00,0.0,0.0,-9.0,12.0,trelleborg
05-02 15:00,0.0,0.0,-9.0,11.0,trelleborg
05-02 16:00,0.0,0.0,-9.0,11.0,trelleborg
05-02 17:00,0.0,0.0,-9.0,10.6,trelleborg
05-02 18:00,0.0,0.0,-9.0,8.9,trelleborg
05-02 19:00,0.0,0.0,-9.0,5.1,trelleborg
05-02 20:00,0.0,0.0,-9.0,3.2,trelleborg
05-02 21:00,0.0,0.0,-9.0,3.1,trelleborg
05-02 22:00,0.0,0.0,-9.0,3.0,trelleborg
05-02 23:00,0.0,0.0,-9.0,3.1,trelleborg
05-03 00:00,0.0,0.0,-9.0,3.8,trelleborg
05-03 01:00,0.0,0.0,-9.0,3.7,trelleborg
05-03 02:00,0.0,0.0,-9.0,4.2,trelleborg
05-03 03:00,0.0,0.0,-9.0,3.9,trelleborg
05-03 04:00,0.0,0.0,-9.0,3.5,trelleborg
05-03 05:00,0.0,0.0,-9.0,3.8,trelleborg
05-03 06:00,0.0,0.0,-9.0,6.7,trelleborg
05-03 07:00,0.0,0.0,-9.0,7.1,trelleborg
05-03 08:00,0.0,0.0,-9.0,7.4,trelleborg
05-03 09:00,0.0,0.0,-9.0,7.9,trelleborg
05-03 10:00,0.0,0.0,-9.0,8.3,trelleborg
05-03 11:00,0.0,0.0,-9.0,8.3,trelleborg
05-03 12:00,0.0,0.0,-9.0,8.7,trelleborg
05-03 13:00,0.0,0.0,-9.0,8.8,trelleborg
05-03 14:00,0.0,0.0,-9.0,9.1,trelleborg
05-03 15:00,0.0,0.0,-9.0,9.3,trelleborg
05-03 16:00,0.0,0.0,-9.0,9.0,trelleborg
05-03 17:00,0.0,0.0,-9.0,7.9,trelleborg
